Date,Primary Asset or Capture,Series,Pillar,Primary Platforms,Native Adaptation,CTA,Status
2026-07-30,"Notebook and studio b roll with one approved beat preview",Making It,The Making,"TikTok; Instagram Reels; YouTube Shorts","Stories with question sticker","Ask me what went into this track. IF NOT NOW, WHEN.",Needs b roll
2026-07-31,asset-studio/out/epk-preview.png,CMO to Rapper,The Split,"LinkedIn; X; Instagram Feed","Press angle post, no hard sell","If the story fits somebody you know, send it to them. IF NOT NOW, WHEN.",Ready
2026-08-01,reference/photos/family-daughter.png,The Reason,The Why,"Instagram Feed; Facebook; Threads","Story follow up with a short voice note","Join the list for the record behind this photo. IF NOT NOW, WHEN.",Ready after personal caption approval
2026-08-02,"20 minute live listening room with one gated preview",Sunday Session,The Sound,"Instagram Live; YouTube Live","Cut best audience reaction into Shorts","Join the list for the next private listen. IF NOT NOW, WHEN.",Needs Dillon live
2026-08-03,asset-studio/out/motion/descent-onmyway.mp4,On My Way,The Sound,"TikTok; Instagram Reels; YouTube Shorts","Add Keev intro or Dillon voiceover before the beat","Send this to the friend you came up with. IF NOT NOW, WHEN.",Needs human intro
2026-08-04,asset-studio/out/split/split-08.png,Session Log,The Split,"Instagram Feed; Facebook; X","Story poll on day world versus night world","Choose the next side of the story. IF NOT NOW, WHEN.",Ready after caption rewrite
2026-08-05,"New phone video: play 30 seconds and tell me if I am delusional",Audience Verdict,The Sound,"TikTok; Instagram Reels; YouTube Shorts","Pin the strongest audience response","Tell me the truth in the comments. IF NOT NOW, WHEN.",Needs Dillon capture
2026-08-06,"New phone video: what Faces did to me at 18",Mac Lineage,The Why,"TikTok; Instagram Reels; YouTube Shorts","LinkedIn story; X thread; link to blog","Read the full story and tell me the Mac record that changed you. IF NOT NOW, WHEN.",Needs Dillon capture
2026-08-07,asset-studio/out/motion/clip-notepad-15s.mp4,First Door In,The Bars,"TikTok; Instagram Reels; YouTube Shorts","Use only after lyric and audio rights check","Watch the full video on the site. IF NOT NOW, WHEN.",Lyrics must be approved
2026-08-08,reference/photos/collage-814-lighthouse.jpeg,Home Coordinates,The 814,"Instagram Feed; Facebook; X","Threads story about Erie and Pittsburgh","Share this with somebody who left home but still carries it. IF NOT NOW, WHEN.",Ready
2026-08-09,"Live: Dillon and Keev tell the story behind the two features",814 Session,The Why,"Instagram Live; YouTube Live","Cut four vertical clips and one quote card","Bring your best friend into the room. IF NOT NOW, WHEN.",Needs Dillon and Keev
2026-08-10,"Montage of real comments, replies, and list feedback",The People Listening,The Why,"TikTok; Instagram Reels; YouTube Shorts","Only use feedback with permission or anonymize it","Join the early list. IF NOT NOW, WHEN.",Needs feedback collection
2026-08-11,"Week's best organic post with a new opening two seconds",Winner Variant A,Best Performing Pillar,"TikTok; Instagram Reels; YouTube Shorts","Keep body constant and change only the hook","Follow for the next test. IF NOT NOW, WHEN.",Data dependent
2026-08-12,"Native reply to the best audience comment",Reply Video,Best Performing Pillar,"TikTok; Instagram Reels","YouTube Short answering the same question","Leave the next question. IF NOT NOW, WHEN.",Data dependent
2026-08-13,"New phone footage: raw studio session or notebook breakdown",Making It,The Making,"TikTok; Instagram Reels; YouTube Shorts","LinkedIn lesson about craft and repetition","Join the list to hear what this became. IF NOT NOW, WHEN.",Needs capture
2026-08-14,"Recap montage: thirty days of the experiment",Month One Recap,The Split,"TikTok; Instagram Reels; YouTube Shorts; LinkedIn","X thread with numbers and honest learnings","Follow month two and join the list. IF NOT NOW, WHEN.",Needs edit and scorecard
