prospect_id,business_name,batch,vertical,url_graded,state,signal,band,confidence,viability,lane,priority,pitch_website,outreach_eligible,why,top_gap_1,top_gap_2,top_gap_3,graded_at,expires
PHL-B2-rittenhouse-square-chiropractic,Rittenhouse Square Chiropractic,B2,chiropractic,https://rittenhousechiro.com/,live,84,excellent,1,35,hands_off,0,false,false,SIGNAL 84 — already an excellent site,"Phone number is a tel: link: phone is text only, not tappable","Real page title, not a template default: title 79 chars, truncates in results","Modern formats, srcset, no GIF photography: 12 responsive, no webp/avif",2026-08-06,2027-02-02
PHL-B2-rufus-chiropractic-and-wellness,Rufus Chiropractic and Wellness,B2,chiropractic,https://www.rufuschiropractic.com/,live,84,excellent,1,35,hands_off,0,false,false,SIGNAL 84 — already an excellent site,"Modern formats, srcset, no GIF photography: 4 responsive, no webp/avif","One h1, real h2 structure: no h1",Clear primary CTA near the top: CTA exists but buried,2026-08-06,2027-02-02
PHL-B2-scrc-accident-and-injury-center,Scrc Accident and Injury Center,B2,physical-therapy,https://springcrc.com/,dead,,,,35,enrich,25,,false,"Domain on file does not resolve or serve a page — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B2-zbc-general-contracting,Zbc General Contracting,B2,construction,https://www.zbccontracting.com/,js-shell,64,dated,1,35,manual,0,,false,"Client-rendered site: static HTML is not the page, needs a render pass","Phone number is a tel: link: phone is text only, not tappable","Real page title, not a template default: title 76 chars, truncates in results","Not a parked page, ADI default, or coming-soon: Wix ADI default",2026-08-06,2026-11-04
PHL-B3-a-positive-response-plumbing-llc,A Positive Response Plumbing LLC,B3,plumbing,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-advanced-commercial-interior-inc,Advanced Commercial Interior Inc.,B3,home-services,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-anton-s-plumbing-heating-inc,Anton S Plumbing Heating Inc.,B3,plumbing,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-bryn-mawr-plumbing-heating-co-inc,Bryn Mawr Plumbing Heating CO Inc.,B3,plumbing,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-c-mazzoni-brothers-inc,C Mazzoni Brothers Inc.,B3,home-services,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-choice-coating-inc,Choice Coating Inc.,B3,painting,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-chris-clement-plumbing-heating,Chris Clement Plumbing Heating,B3,plumbing,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-commercial-wallcovering,Commercial Wallcovering,B3,painting,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-dan-ferry-plumbing-inc,Dan Ferry Plumbing Inc.,B3,plumbing,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-ferguson-plumbing-heating,Ferguson Plumbing Heating,B3,plumbing,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-gracies-painting,Gracies Painting,B3,painting,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-graham-painting-10-98,Graham Painting 10 98,B3,painting,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-integrity-interiors,Integrity Interiors,B3,construction,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-james-harper-painting,James Harper Painting,B3,painting,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-lynch-plumbing-heating,Lynch Plumbing Heating,B3,plumbing,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-mary-cleary-drywall-carpentry-llc,Mary Cleary Drywall Carpentry LLC,B3,construction,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-mitchell-painting-llc,Mitchell Painting LLC,B3,painting,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-pk2-construction,Pk2 Construction,B3,construction,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-prime-interiors-llc,Prime Interiors LLC,B3,construction,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-robert-j-spence-plumbing-and-heating,Robert J Spence Plumbing and Heating,B3,plumbing,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-sharp-edge-construction-company,Sharp Edge Construction Company,B3,construction,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-shooster-development,Shooster Development,B3,construction,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-sioutis-coatings-ent-inc,Sioutis Coatings Ent Inc.,B3,painting,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-tanglewood-ptg-corp,Tanglewood Ptg Corp,B3,home-services,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B3-trend-painting,Trend Painting,B3,painting,,directory-only,,,,35,enrich,25,,false,"Only third-party directory listings — confirm ability to pay, then build",,,,2026-08-06,2026-11-04
PHL-B4-a-m-electric-inc,A M Electric Inc.,B4,electrical,https://www.amelectricservice.com/,live,81,excellent,0.92,35,hands_off,0,false,false,SIGNAL 81 — already an excellent site,"Phone number is a tel: link: phone is text only, not tappable",JSON-LD parses with a business type: JSON-LD present (Electrician) but no business type,Meta description present and sized: meta description 244 chars,2026-08-06,2027-02-02
PHL-B4-all-phase-electric-co,All Phase Electric CO,B4,electrical,https://allphaseelectricco.com/,live,91,excellent,0.97,35,hands_off,0,false,false,SIGNAL 91 — already an excellent site,"Modern formats, srcset, no GIF photography: 4 responsive, no webp/avif",Address links to a map: no address or directions,Hours published on the page: no hours on the page,2026-08-06,2027-02-02
PHL-B4-apt-heating-and-cooling,Apt Heating and Cooling,B4,hvac,https://www.aptheating.com/,live,62,dated,0.95,35,enrich,9,,false,"SIGNAL 62 — dated site, but ability to pay is unknown",JSON-LD parses with a business type: no JSON-LD,"Modern formats, srcset, no GIF photography: no images at all","Phone number is a tel: link: phone is text only, not tappable",2026-08-06,2026-11-04
PHL-B4-bill-frusco-plumbing-heating-cooling,Bill Frusco Plumbing Heating Cooling,B4,plumbing,https://www.billfrusco.com/,live,93,excellent,1,35,hands_off,0,false,false,SIGNAL 93 — already an excellent site,HTML document under 150KB: 1069KB HTML document,"Modern formats, srcset, no GIF photography: 325 responsive, no webp/avif","One h1, real h2 structure: 28 h1 elements",2026-08-06,2027-02-02
PHL-B4-borden-heating-cooling-inc,Borden Heating Cooling Inc.,B4,hvac,https://bordenco.com/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","Modern formats, srcset, no GIF photography: 24 images, none modern-format or responsive","No Flash, framesets, or pre-2013 jQuery: document.write",Real hero: h1 plus a lead image or video: no h1 and no lead media,2026-08-06,2026-11-04
PHL-B4-brandon-electric-inc,Brandon Electric Inc.,B4,electrical,https://brandonelectricpa.com/,live,83,excellent,1,35,hands_off,0,false,false,SIGNAL 83 — already an excellent site,"Real page title, not a template default: title 239 chars, truncates in results",First byte under 1200ms: 3787ms to first byte,Meta description present and sized: meta description 625 chars,2026-08-06,2027-02-02
PHL-B4-centrum-mechanical-services,Centrum Mechanical Services,B4,home-services,https://centrummechanical.com/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","Modern formats, srcset, no GIF photography: 8 images, none modern-format or responsive","Responsive viewport meta: viewport ""initial-scale=1, maximum-scale=1"" is not device-width","JSON-LD parses with a business type: JSON-LD present (WebPage, BreadcrumbList, WebSite) but no business type",2026-08-06,2026-11-04
PHL-B4-charles-schillinger-company,Charles Schillinger Company,B4,fabrication,https://cschillinger.com/,live,79,solid,1,35,adjacent,0,false,false,"SIGNAL 79 — site is solid, the gap is elsewhere","Modern formats, srcset, no GIF photography: 3/9 images are GIFs",First byte under 1200ms: 5901ms to first byte,Clear primary CTA near the top: CTA exists but buried,2026-08-06,2027-02-02
PHL-B4-cleaned-by-d-d-llc,Cleaned BY D D LLC,B4,cleaning,https://www.cleanedbydd.com/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","Not a parked page, ADI default, or coming-soon: Wix ADI default",HTML document under 150KB: 588KB HTML,JSON-LD parses with a business type: JSON-LD present (WebSite) but no business type,2026-08-06,2026-11-04
PHL-B4-compucraft-fabricators-inc,Compucraft Fabricators Inc.,B4,fabrication,https://www.metalwork.com/,live,70,solid,0.95,35,adjacent,0,false,false,"SIGNAL 70 — site is solid, the gap is elsewhere",JSON-LD parses with a business type: no JSON-LD,"Modern formats, srcset, no GIF photography: 4 images, none modern-format or responsive","Phone number is a tel: link: phone is text only, not tappable",2026-08-06,2027-02-02
PHL-B4-dunryte-electric-inc,Dunryte Electric Inc.,B4,electrical,https://dunryteelectric.com/,live,64,dated,0.92,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown",JSON-LD parses with a business type: no JSON-LD,"Modern formats, srcset, no GIF photography: 10 images, none modern-format or responsive",No table/frame/font-tag layout: table layout attributes,2026-08-06,2026-11-04
PHL-B4-ernest-d-menold-inc,Ernest D Menold Inc.,B4,fabrication,https://www.menold.com/,live,64,dated,1,35,enrich,9,,false,"SIGNAL 64 — dated site, but ability to pay is unknown","Phone number is a tel: link: phone is text only, not tappable","Not a parked page, ADI default, or coming-soon: Wix ADI default",HTML document under 150KB: 737KB HTML document,2026-08-06,2026-11-04
