prospect_id,business_name,website,vertical,market,site_quality_score,site_quality_band,confidence,opportunity_score,verdict,offer,tier_reached,next_action
osm:node/7260570226,Dentistry for Life,https://dentistryforlife.net/,dentist,PHL,71,unconfirmed,0.91,51,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/7865825643,"Eisenberg, Rothweiler, Winkler, Eisenberg & Jeck, P.C.",https://www.erlegal.com/,lawyer,PHL,33,decayed,0.91,58,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:node/8081051365,vybe urgent care,https://www.vybe.care/vybe-locations/spring-garden/,clinic,PHL,66,dated,0.91,29,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/8222194512,Pennsylvania Commercial Collections Agency,https://mrpcollects.com/pennsylvania-commercial-collections-agency/,financial,PHL,70,unconfirmed,0.91,35,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/9113801241,"National Real Estate Development, LLC",https://natrealestatedevelopment.com/,estate-agent,PHL,66,dated,0.91,38,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/9165663884,myDoc Urgent Care,https://www.mydocuc.com/contact/templecampus/,doctor,PHL,49,decayed,0.91,48,nurture,low-cost touch only,0,Bad site but opportunity 48 < build floor 55 — not worth a build slot
osm:node/9492825339,UHP Wireless Networks,http://www.uhpwireless.com/,it,PHL,56,dated,0.91,45,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/9669666608,"Jarman Sales & Service, Inc",http://jarmanairconditioning.com/,hvac,PHL,20,broken,0.91,82,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:node/9674338012,ZBC General Contracting,https://zbcgeneralcontracting.com/,plumber,PHL,68,dated,0.91,37,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/9704922228,Statewide Agency,https://statewideagency.com/,insurance,PHL,64,dated,0.91,45,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/9771948425,MG Floor Supply,https://mgfloorsupply.com/,flooring,PHL,53,dated,0.91,46,nurture,low-cost touch only,0,Bad site but opportunity 46 < build floor 55 — not worth a build slot
osm:node/9774290533,Ameen General Contractor Inc,https://ameengeneralcontracting.com/,plumber,PHL,71,unconfirmed,0.91,35,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/9789878772,Premiere Dental of Northeast,https://www.premieredental.com/,dentist,PHL,64,dated,0.91,54,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/10210340566,Philadelphia Injury Lawyers P.C.,https://philly-injury-law.com/,lawyer,PHL,73,unconfirmed,0.91,34,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/10271227980,Epam,https://www.epam.com/,it,PHL,35,decayed,0.91,57,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:node/10541913909,Companion Pet Hospital,https://companion-pets.com/,veterinary,PHL,75,unconfirmed,0.91,48,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/10628313488,Quinn Law Group,https://www.quinnlawyers.com/,lawyer,PHL,74,unconfirmed,0.91,32,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/10889927861,Ohm Family Chiropractic,https://www.ohmchiropractic.com/,alternative,PHL,72,unconfirmed,0.91,34,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/11019835699,Love City Vet,https://lovecityvet.com/,veterinary,PHL,68,dated,0.91,52,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/11055837164,McGill & LaNoce Law Office,https://www.mcgilllanoce.com/,lawyer,PHL,51,dated,0.91,48,nurture,low-cost touch only,0,Bad site but opportunity 48 < build floor 55 — not worth a build slot
osm:node/11055837165,McGill Agency,https://www.mcgillrealtor.com/,estate-agent,PHL,54,dated,0.91,45,nurture,low-cost touch only,0,Bad site but opportunity 45 < build floor 55 — not worth a build slot
osm:node/11061539917,Rox Falls Vet,https://roxfallsvet.com/,veterinary,PHL,71,unconfirmed,0.91,51,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/11072156856,Philadelphia Real Estate,https://philadelphiarealestateandpropertymanagement.com/,estate-agent,PHL,60,dated,0.91,42,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/11072156873,Performance Kitchens & Home,https://www.performancekitchens.com/,kitchen,PHL,65,dated,0.91,38,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/11076922907,Mazzoni Center,https://www.mazzonicenter.org/,clinic,PHL,65,dated,0.91,29,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/11133380488,Razavi Dental,https://razavidental.com/,dentist,PHL,71,unconfirmed,0.91,51,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/11250920762,BG Electric Service LLC,https://www.bgelectricservicellc.com/,electrician,PHL,33,decayed,0.91,74,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:node/11289505300,Easy Auto Tag & Insurance,http://www.easyautotag.com/,insurance,PHL,36,decayed,0.91,63,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:node/11379789127,Andorra Family Dentistry,https://www.andorradental.com/,dentist,PHL,26,broken,0.91,78,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:node/11379789131,Andorra Pediatrics,https://www.advocareandorrapeds.com/,doctor,PHL,,ungraded,0.16,44,enrich,undecided,0,"Re-audit: no usable evidence. Check the URL, then run Tier 1 (rendered) audit."
osm:node/11379789132,Optimum Health Chiropractic,https://www.drdawncutechiropractic.com/,alternative,PHL,70,unconfirmed,0.91,35,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/11459689861,Presidential Holostic Dentistry,https://presidentialdentalcare.com/,dentist,PHL,72,unconfirmed,0.91,49,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/11485677068,HKM Employment Attorneys LLP,https://hkm.com/philadelphia,lawyer,PHL,68,dated,0.91,37,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/11508427942,Economy Drain Cleaning & Plumbing,https://www.economydrainclean.com/,plumber,PHL,75,unconfirmed,0.91,32,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/11511911122,Friendly Tax Advisors,https://www.ftaphiladelphia.com/,tax-advisor,PHL,57,dated,0.91,43,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/11652847101,Rosenbaum & Associates,https://www.rosenbauminjuryfirm.com/,lawyer,PHL,73,unconfirmed,0.91,34,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/11766280247,AirMaster Heating & Cooling Specialists,https://www.airmasterpa.com/,hvac,PHL,75,unconfirmed,0.91,48,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/11961332066,Ivy Rehab Physical Therapy,https://www.ivyrehab.com/location/philadelphia-krewstown/,physiotherapist,PHL,71,unconfirmed,0.91,31,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/11998238298,PA Brain Doc -- Medical Marijuana Telemedicine in Pennsylvania,https://www.pabraindoc.com/locations/philadelphia,clinic,PHL,45,decayed,0.84,38,nurture,low-cost touch only,0,Bad site but opportunity 38 < build floor 55 — not worth a build slot
osm:node/12238320568,Avon Chiropractic and Injury Center,https://www.avonchiropracticpa.com/,alternative,PHL,67,dated,0.91,37,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/12238320571,Akumin,https://akumin.com/locations/pennsylvania/grant/,doctor,PHL,65,dated,0.91,38,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/12288899333,Pennsylvania Optometrics,https://www.pennopto.com/,optometrist,PHL,66,dated,0.91,38,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/12362872869,Burke Plumbing & Heating,https://burkeplumbinginc.com/,plumber,PHL,73,unconfirmed,0.91,34,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/12413134863,TM Prestige Home Cash Buyer,https://tmprestige.com/,estate-agent,PHL,33,decayed,0.91,58,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:node/12419892560,Six Fishes Neighborhood Acupuncture,https://sixfishes.com/,alternative,PHL,68,dated,0.91,37,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/12581658649,PAWS Spay/Neuter & Wellness Clinic,https://phillypaws.org/locations/spay-neuter-and-wellness-clinic/,veterinary,PHL,69,dated,0.91,51,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/12598274963,Tax Guy Kev,https://taxguykev.com/,tax-advisor,PHL,69,dated,0.91,35,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/12601798918,Metasense Marketing,https://www.metasensemarketing.com/,advertising-agency,PHL,67,dated,0.91,37,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/12601804311,Creative Pro Marketing,https://www.creativepromarketing.com/,advertising-agency,PHL,64,dated,0.91,38,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/12601816126,Momentum Digital,https://needmomentum.com/,advertising-agency,PHL,70,unconfirmed,0.91,35,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/12601817711,1DIGITAL AGENCY,https://www.1digitalagency.com/,advertising-agency,PHL,70,unconfirmed,0.91,35,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/12601839049,Penn Creative,https://www.penn-creative.com/,advertising-agency,PHL,66,dated,0.91,38,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/13030963397,Pet Dermatology Center,https://www.petdermphilly.com/,veterinary,PHL,68,dated,0.91,52,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/13121254184,Dentists on Washington,https://dentistsonwashington.com/,dentist,PHL,69,dated,0.91,51,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/13206292152,360 Dental PC,https://www.360dentalpc.com/,dentist,PHL,72,unconfirmed,0.91,49,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/13256876175,Stump,https://stumpplants.com/bellavista,garden-centre,PHL,69,dated,0.91,35,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/13309701028,Art City Vets,https://www.artcityvets.com/,veterinary,PHL,72,unconfirmed,0.91,37,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/13393010369,Abundant Chiropractic,https://www.abundantchiro.com/,alternative,PHL,27,broken,0.36,62,enrich,undecided,0,Confidence 36% is too low to route. Run the Tier 1 rendered audit.
osm:node/13448045445,Summit Spine and Wellness,https://www.summitspineandwellness.com/,alternative,PHL,61,dated,0.91,42,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/13588696144,Pennsylvania Dental Group,https://www.padentalgroup.com/,dentist,PHL,33,decayed,0.91,74,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:node/13665531012,Just Blessed Media,https://justblessedmarketing.com/link-3179,advertising-agency,PHL,63,dated,0.84,40,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/13796576107,Victor's Office - VJP Services,https://vjpservices.com/,accountant,PHL,66,dated,0.91,38,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/13812040801,Penn Hardware,https://truevalue.com/,hardware,PHL,69,dated,0.91,35,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/13885756801,2nd Street Animal Hospital,https://2ndstreetvet.com/,veterinary,PHL,68,dated,0.91,52,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/13885809701,Philadelphia Dental - Broad St,http://philadelphiadental.com/,dentist,PHL,67,dated,0.91,52,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/14008385107,Panitch Schwarze Belisario & Nadel,https://www.panitchlaw.com/,lawyer,PHL,65,dated,0.91,38,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:way/213271542,Oak Street Health,https://www.oakstreethealth.com/locations/philadelphia/aramingo,doctor,PHL,65,dated,0.91,38,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:way/334264425,District Health Center 1,https://www.phila.gov/health/diseasecontrol/hc1.html,doctor,PHL,64,dated,0.91,38,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:way/334272277,Temple Health Northeastern Campus,https://www.templehealth.org/locations/northeastern-campus-tuh,clinic,PHL,60,dated,0.91,32,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:way/381320173,Roxborough Memorial Urgent Care,https://roxboroughmemorialurgentcare.com/,clinic,PHL,66,dated,0.91,38,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:way/439170495,Law Offices of Dizengoff and Yost,https://www.hunteryostlaw.com/,lawyer,PHL,71,unconfirmed,0.91,35,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:way/441199714,"The Mark Kachhi Law Firm, PLLC",https://www.themarkkachhilawfirm.com/,lawyer,PHL,70,unconfirmed,0.91,35,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:way/462191267,Philadelphia Auto Accident Injury Attorney,https://carcrashinjuryfirm.com/philadelphia-auto-accident-injury-attorney/,lawyer,PHL,33,decayed,0.91,58,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:way/489611288,BCC Interactive,https://www.bccinteractive.com/,it,PHL,57,dated,0.91,43,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:way/581019348,ABC Urgent Care,https://www.urgentcareabc.com/,clinic,PHL,65,dated,0.91,38,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:way/642139701,Einstein Center One,https://www.jeffersonhealth.org/locations/physicians-center-one.html,clinic,PHL,61,dated,0.75,42,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:way/705313714,One Water Street Apartments,https://seolocale.com/,advertising-agency,PHL,75,unconfirmed,0.91,32,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:way/868174666,Four Seasons Total Landscaping,https://www.fstl1992.com/,gardener,PHL,68,dated,0.91,37,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:way/975303932,Pennsylvania Medical Staffing,https://www.1stoprecruiting.com/a-top-rated-pennsylvania-medical-staffing-agency/,employment-agency,PHL,69,dated,0.91,35,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:way/1011542374,PHILLY VISION CARE,https://phillyvisioncare.com/bustleton-office.html,optician,PHL,63,dated,0.91,40,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:way/1125487665,Dutton Road Veterinary Clinic,http://duttonroadvetclinic.com/,veterinary,PHL,25,broken,0.91,78,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:way/1140077779,Insight Dental Care,https://insightdentalcare.com/,dentist,PHL,73,unconfirmed,0.91,49,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:way/1235541819,Mount Airy Animal Hospital,https://mtairyvet.com/,veterinary,PHL,68,dated,0.91,52,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:way/1240243392,Germantown Dental Group,http://germantowndental.us/,dentist,PHL,0,broken,1,94,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:node/2105968680,"Dischell, Bartle, & Dooley",https://dbdlaw.com/,lawyer,PHL,67,dated,0.91,37,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/2106261446,"Complete Graphics, Inc.",https://complete-graphix.com/,advertising-agency,PHL,,ungraded,0.16,44,enrich,undecided,0,"Re-audit: no usable evidence. Check the URL, then run Tier 1 (rendered) audit."
osm:node/2106261468,"O'Donnell, Weiss & Mattei, P.C.",https://www.owmlaw.com/,lawyer,PHL,34,decayed,0.91,57,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:node/2343297227,Royersford Vet,https://royersfordvet.com/,veterinary,PHL,73,unconfirmed,0.91,49,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/2343299186,Trooper Veterinary Hospital,https://www.troopervet.com/,veterinary,PHL,70,unconfirmed,0.91,51,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/2641375557,CareSTAT Urgent Care,http://www.whywaitintheer.com/abington.php,doctor,PHL,45,decayed,0.91,51,nurture,low-cost touch only,0,Bad site but opportunity 51 < build floor 55 — not worth a build slot
osm:node/3814658933,"I.S. Partners, LLC",https://www.ispartnersllc.com/,it,PHL,71,unconfirmed,0.91,35,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/3946938376,Nase Architects,https://www.nasearchitects.com/,architect,PHL,63,dated,0.91,40,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/4525683384,"Law Offices Of Arthur R. Braitman, PLLC",https://braitmanlawllc.com/,lawyer,PHL,66,dated,0.91,38,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/4535565106,"CoreStaff, Inc.",http://corestaffinc.com/,employment-agency,PHL,49,decayed,0.91,48,nurture,low-cost touch only,0,Bad site but opportunity 48 < build floor 55 — not worth a build slot
osm:node/4564956004,Whitemarsh Psychological Associates,https://whitemarshpsychological.com/,psychotherapist,PHL,64,dated,0.91,38,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/4658869001,Cho Chiropractic,https://www.chochiropractic.com/chiropractic.html,doctor,PHL,68,dated,0.91,37,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/4848554638,Baird Optical,https://www.bairdoptical.com/,optician,PHL,67,dated,0.91,37,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/4848554642,Aqua Sport,https://www.aquasportpt.com/,physiotherapist,PHL,56,dated,0.91,45,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/4848554652,Always Dental Care,https://www.alwaysdentalcare.com/,dentist,PHL,26,broken,0.91,78,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:node/5082624804,The Tile Shop,https://www.tileshop.com/store-locator/montgomeryville,doityourself,PHL,69,dated,0.91,35,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/5168010755,Pure Smile Dentristy,https://puresmiledentistry.com/,dentist,PHL,72,unconfirmed,0.91,49,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/5174128849,KaplunMarx,https://www.kaplunmarx.com/,lawyer,PHL,73,unconfirmed,0.91,34,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/5219034160,Dr. Weiss's Office,https://www.orthodontists.com/,dentist,PHL,49,decayed,0.91,63,rebuild,Tier-A demo site + direct mail QR,0,Queue a site-factory brief (/mirror-and-improve)
osm:node/5263287564,Floors USA,https://www.floorsusa.com/,floorer,PHL,63,dated,0.91,40,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/5344844131,"Lowenthal & Abrams, PC",https://lowenthalabrams.com/,lawyer,PHL,73,unconfirmed,0.91,34,verify,undecided — needs a rendered audit,0,"Run Tier 1 (rendered) audit: no markup faults found, but design was never seen"
osm:node/5711280832,Francis Martino Insurance,https://www.francismartinoinsurance.com/,insurance,PHL,68,dated,0.91,43,polish,landing page + CRO engagement,0,"Pitch a single high-intent landing page, not a full rebuild — their site is decent"
osm:node/5795137401,Acorn Landscaping,https://www.acornlandscapinginc.net/,gardener,PHL,,ungraded,0.16,44,enrich,undecided,0,"Re-audit: no usable evidence. Check the URL, then run Tier 1 (rendered) audit."
osm:node/5851252062,James W. Zerillo Law Offices,https://www.jzbankruptcy.com/,lawyer,PHL,,ungraded,0.16,44,enrich,undecided,0,"Re-audit: no usable evidence. Check the URL, then run Tier 1 (rendered) audit."
